,RXN Smiles,Reaction_Type,Exp_Name,Yield (Exp),Yield (Pred),CF (Exp),CF (Pred)
22,FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,RuPhos_Cs2CO3,0.5904230299430208,0.677551192679206,0.3830152378365046,0.33376226
23,COc1cccc(Br)c1.CC(C)(C)OC(N)=O>>COc1cccc(NC(=O)OC(C)(C)C)c1,Buchwald,RuPhos,0.1256984088058238,0.1289878455740344,0.547366082020504,0.5334072
24,N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.5983435634560685,0.672772501015786,0.6640684690457708,0.59060246
25,Brc1nccs1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1nccs1,Buchwald,BrettPhos_Cs2CO3,0.1210731261469539,0.1318011440611338,0.2191823316210892,0.2013419
26,Cc1cccc(C)c1Br.CC(N)=O>>CC(=O)Nc1c(C)cccc1C,Buchwald,XantPhos_Cs2CO3_3amine,0.1172956773958838,0.1208114620686582,0.4166825010366778,0.40455645
27,O=C(O)c1ccc(Br)cc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,Buchwald,RuPhos_Cs2CO3,0.6076884430545232,0.6351261978574841,0.7300089965667225,0.6984722
28,Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,RuPhos_Cs2CO3_3amine,0.10728761318351,0.1164811538229168,0.5102959080036781,0.47001964
29,Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,BrettPhos_Cs2CO3,0.2924453868237236,0.3552052413380818,0.3406896260699628,0.28049445
30,N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,BrettPhos_3amine,0.4692956794917088,0.5276721390364235,0.6640684690457708,0.59060246
31,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,BrettPhos_Cs2CO3_3amine,0.625342474781206,0.4931556814884089,0.2662169755183974,0.3375745
32,FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,XantPhos_3amine,0.4625712315616151,0.3647915184675647,0.2662169755183974,0.3375745
33,Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,XantPhos,0.4512809794543658,0.5277959072480671,0.4462328812076657,0.38154224
34,Cc1csc(Cl)n1.CC(N)=O>>CC(=O)Nc1nc(C)cs1,Buchwald,XantPhos_Cs2CO3_3amine,0.2973159497473017,0.4323484767663344,0.2934867449159458,0.20182398
35,Cc1csc(Cl)n1.CC(N)=O>>CC(=O)Nc1nc(C)cs1,Buchwald,BrettPhos_Cs2CO3_3amine,0.2977139682875528,0.4329272641127537,0.2934867449159458,0.20182398
36,FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,t-BuXPhos_3amine,0.2989095920852016,0.2941805885957408,0.4457680518414091,0.45293385
37,FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,BrettPhos,0.3000318690082698,0.3443072854186308,0.3830152378365046,0.33376226
