RXN Smiles,Reaction_Type,Exp_Name,Yield (Exp),Yield (Pred),CF (Exp),CF (Pred)
Fc1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(F)c1,Buchwald,XantPhos_Cs2CO3_3amine,0.4183467973702918,0.4315988548918719,0.4141769035054924,0.40145972
COc1ccccc1Br.CC(N)=O>>COc1ccccc1NC(C)=O,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.4769891486579637,0.5118611401971669,0.4860936908946384,0.45297718
N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,XantPhos_3amine,0.4887986542329939,0.5496011208042796,0.6640684690457708,0.59060246
O=C(O)c1cccc(Br)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cccc(C(=O)O)c1,Buchwald,t-BuXPhos,0.506119620932315,0.5954372593420924,0.6397546732819965,0.5437892
FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.5111537229373871,0.5030668371249948,0.4457680518414091,0.45293385
N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.5180965167594865,0.5825433925194031,0.6640684690457708,0.59060246
Cc1cccc(Br)n1.CC(N)=O>>CC(=O)Nc1cccc(C)n1,Buchwald,BrettPhos_Cs2CO3_3amine,0.5211963494977612,0.5757925356936557,0.3795976436719233,0.3436045
Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,XantPhos_Cs2CO3,0.1572457877646653,0.1909913115709771,0.3406896260699628,0.28049445
CC(=O)c1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C(C)=O)cc1,Buchwald,XantPhos_3amine,0.5287303744490647,0.5823012415928692,0.7254916020630485,0.65874743
Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,t-BuXPhos_Cs2CO3_3amine,0.5288171634417544,0.5741318268838606,0.5102959080036781,0.47001964
Cc1cccc(C)c1Br.CC(N)=O>>CC(=O)Nc1c(C)cccc1C,Buchwald,BrettPhos_Cs2CO3_3amine,0.1496521626938035,0.1541377907367759,0.4166825010366778,0.40455645
O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O.CCN1CCNCC1>>CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Buchwald,RuPhos,0.5362761289791574,0.5549872161134395,1.17349327675524,1.1339297
N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,RuPhos_3amine,0.1410036427235309,0.1585433171863831,0.6640684690457708,0.59060246
FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,XantPhos_Cs2CO3,0.5445937277905374,0.6249589041702913,0.3830152378365046,0.33376226
FC(F)(F)c1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(C(F)(F)F)c1,Buchwald,t-BuXPhos_3amine,0.5602409170923895,0.6389250567679321,0.4786256697056371,0.4196826
FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,RuPhos,0.5613424121466721,0.6441791758836117,0.3830152378365046,0.33376226
Fc1cccc(Br)c1.CC(N)=O>>CC(=O)Nc1cccc(F)c1,Buchwald,BrettPhos_Cs2CO3_3amine,0.5718959120263446,0.5900119764259518,0.4141769035054924,0.40145972
FC(F)(F)Oc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(OC(F)(F)F)cc1,Buchwald,BrettPhos_Cs2CO3_3amine,0.5839558981186085,0.5747172200934918,0.4457680518414091,0.45293385
FC(F)(F)c1cncc(Cl)c1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1cncc(C(F)(F)F)c1,Buchwald,RuPhos_Cs2CO3,0.5904230299430208,0.677551192679206,0.3830152378365046,0.33376226
N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,XantPhos_Cs2CO3_3amine,0.5983435634560685,0.672772501015786,0.6640684690457708,0.59060246
Cc1cccc(C)c1Br.CC(N)=O>>CC(=O)Nc1c(C)cccc1C,Buchwald,XantPhos_Cs2CO3_3amine,0.1172956773958838,0.1208114620686582,0.4166825010366778,0.40455645
O=C(O)c1ccc(Br)cc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccc(C(=O)O)cc1,Buchwald,RuPhos_Cs2CO3,0.6076884430545232,0.6351261978574841,0.7300089965667225,0.6984722
Cc1ccc(I)cc1C.CC(N)=O>>CC(=O)Nc1ccc(C)c(C)c1,Buchwald,RuPhos_Cs2CO3_3amine,0.10728761318351,0.1164811538229168,0.5102959080036781,0.47001964
Brc1ccccn1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccccn1,Buchwald,BrettPhos_Cs2CO3,0.2924453868237236,0.3552052413380818,0.3406896260699628,0.28049445
N#Cc1ccc(Br)cc1.CC(N)=O>>CC(=O)Nc1ccc(C#N)cc1,Buchwald,BrettPhos_3amine,0.4692956794917088,0.5276721390364235,0.6640684690457708,0.59060246
FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,BrettPhos_Cs2CO3_3amine,0.625342474781206,0.4931556814884089,0.2662169755183974,0.3375745
FC(F)(F)c1ccccc1Br.CC(N)=O>>CC(=O)Nc1ccccc1C(F)(F)F,Buchwald,XantPhos_3amine,0.4625712315616151,0.3647915184675647,0.2662169755183974,0.3375745
Brc1ccncc1.CC(C)(C)OC(N)=O>>CC(C)(C)OC(=O)Nc1ccncc1,Buchwald,XantPhos,0.4512809794543658,0.5277959072480671,0.4462328812076657,0.38154224
