SMILES,CF
Nc1cnn(-c2ccccc2)c(=O)c1Cl,0.76229
CC(=O)OC1C(C)OC(n2cc(F)c(N)nc2=O)C1OC(C)=O,0.44607
CC1CCC(C(C)C)C(OC(=O)C2OC(n3cc(F)c(N)nc3=O)CS2)C1,0.4328
Nc1ccon1,0.08112
Nc1cnns1,0.18435
Cc1cc(N)on1,0.14627
Cc1cc(N)no1,0.11436
NCc1cccs1,0.08066
Cc1nsc(N)n1,0.1512
Cc1cccc(F)c1Br,0.23808
CCc1nn(C)c(C(=O)O)c1Cl,0.1264
COc1cccc(F)c1Br,0.37803
O=C(O)c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,0.68224
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0.48282
Cn1cnc([N+](=O)[O-])c1Cl,0.40869
Cn1c(Cl)cc(=O)n(C)c1=O,0.27262
COC(=O)c1ccc(F)c(Br)c1,0.46331
CC(=O)c1ccc(F)c(Br)c1,0.50625
Fc1ccc(C(F)(F)F)cc1Br,0.24806
N#Cc1ccc(C(F)(F)F)cc1Cl,0.51085
Cc1cc(Cl)ncc1N,0.41997
Cc1cc(Br)ncc1[N+](=O)[O-],0.38033
Cc1ccc(C#N)c(Br)c1,0.47385
Cc1cc(F)cc(Br)c1,0.28405
Cc1ccc(F)c(Br)c1,0.25772
COc1cc(F)cc(Br)c1,0.43802
Cc1ccc(F)cc1Br,0.22993
Fc1ccc(C(F)(F)F)c(Br)c1,0.26122
O=Cc1ccc(F)cc1Br,0.41923
O=C(O)Cc1ccc(F)cc1Br,0.29843
CC(=O)Nc1ccc(F)cc1Br,0.34955
Oc1ccc(F)cc1Br,0.32337
COc1ccc(F)cc1Br,0.4072
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,0.7779
Nc1ccnc(Cl)c1,0.29541
Oc1cc(F)cc(Br)c1,0.38522
Cc1cc([N+](=O)[O-])c(OC(C)C)cc1Br,0.47859
COc1cc(Br)cc(OC)c1,0.41577
COc1cc(Br)cc([N+](=O)[O-])c1,0.48806
COc1cc(Cl)nc(N)n1,0.33209
N#Cc1cc([N+](=O)[O-])cc(Br)c1N,0.66719
O=[N+]([O-])c1cc(Br)cc(C(F)(F)F)c1,0.4734
O=C(O)c1ccc([N+](=O)[O-])cc1Cl,0.41465
O=[N+]([O-])c1ccc(F)c(Br)c1,0.40273
O=c1ccc(Cl)n[nH]1,0.27221
Cc1cc(Br)ccc1C#N,0.52758
N#Cc1ccc(Cl)cc1[N+](=O)[O-],0.5812
N#Cc1ccc(Br)cc1,0.50267
N#Cc1ccc(Cl)c([N+](=O)[O-])c1,0.58342
CC(C)(C)NC(=O)c1ccc(Cl)nc1,0.35271
COc1cc(Cl)ccc1C(=O)O,0.3478
O=C(O)c1ccc(Cl)c(C(F)(F)F)c1,0.37566
O=C(O)c1ccc(Br)cn1,0.28825
O=C(O)c1ccc(Br)c(F)c1,0.42539
COC(=O)c1ccc(Br)cc1F,0.42143
COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.4691
COC(=O)c1ccc(Br)cc1,0.41494
COC(=O)c1ccc(Cl)c(N)c1,0.57552
COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.5336
COC(=O)c1ccc(Cl)nc1,0.33455
Fc1cc(Br)ccc1C(F)(F)F,0.23203
Cc1ccc(Br)c(F)c1,0.30236
O=Cc1ccc(Br)cc1F,0.45285
Clc1ccc(Cc2nc3ccccc3[nH]2)cc1,0.8705
CC(=O)c1cc(Br)ccc1F,0.33944
Fc1ccc(Br)cc1C(F)(F)F,0.17425
Cc1cc(Br)ccc1F,0.24276
Oc1cc(Br)ccc1F,0.2829
COc1cc(Br)ccc1F,0.368
Fc1ccc(Br)cc1,0.13957
Cc1cc(F)ccc1Br,0.30903
Fc1ccc(Br)nc1,0.14126
Fc1ccc(Br)c(C(F)(F)F)c1,0.19525
Fc1ccc(Br)cn1,0.14283
Nc1ccc(Cl)nc1,0.35899
Nc1ccc(Cl)nn1,0.30962
CC(=O)Nc1ccc(Br)cc1F,0.48194
Oc1ccc(Br)cc1F,0.38046
COc1ccc(Cl)cc1C(=O)O,0.36139
COC(=O)c1cc(Cl)ccc1OC,0.60678
COc1ccc(Br)cc1F,0.33863
COc1ccc(Cl)nn1,0.19081
CS(=O)(=O)c1ccc(Cl)cc1,0.36534
O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F,0.3011
Cc1cc(Cl)ccc1[N+](=O)[O-],0.49141
Nc1cc(Cl)ccc1[N+](=O)[O-],0.52937
O=C(O)c1cc([N+](=O)[O-])ccc1Cl,0.45625
N#Cc1cc([N+](=O)[O-])ccc1Cl,0.50683
O=[N+]([O-])c1ccc(Br)c(C(F)(F)F)c1,0.51516
O=[N+]([O-])c1ccc(Br)c(F)c1,0.43338
O=[N+]([O-])c1ccc(Br)cn1,0.39424
Clc1ccc2nccn2n1,0.49254
O=c1cccc(Cl)[nH]1,0.31582
O=C(O)c1cccc(Br)c1F,0.31762
O=C(O)c1cccc(Cl)c1[N+](=O)[O-],0.43091
FC(F)(F)c1cccc(Br)n1,0.17779
Cc1cccc(Br)n1,0.1053
Fc1cccc(Br)c1,0.20176
Cc1c(F)cccc1Br,0.32839
Fc1cccc(Br)n1,0.15941
Cc1c(Cl)cccc1[N+](=O)[O-],0.35369
N#Cc1ccccc1Br,0.52382
Fc1ccccc1Br,0.13498
Brc1cccs1,0.11822
CNC(=O)c1cc(Cl)ccn1,0.46751
COC(=O)c1cc(Cl)ccn1,0.38427
NC(=O)c1cc(Cl)ccn1,0.32797
Brc1ccsc1,0.09791
COC(=O)c1sccc1Br,0.32616
Cc1cc(F)ncc1Br,0.22706
Clc1cnc2ccccc2n1,0.67141
N#Cc1cncc(Br)c1,0.36229
COC(=O)c1cncc(Br)c1,0.31618
FC(F)(F)c1cncc(Cl)c1,0.18374
Cn1cc(Br)cn1,0.07358
COc1cc(OC)nc(Cl)n1,0.28385
COc1ccc([N+](=O)[O-])c(Cl)n1,0.43344
COc1nc(Cl)nc(OC)n1,0.17211
CCOC(=O)c1cnc(SC)nc1Cl,0.45646
Clc1nc2ccccc2s1,0.29627
Cc1cnc(Cl)nc1,0.15843
Cc1cnc(Br)s1,0.13339
Cn1cc(-c2ccnc(Cl)n2)c2ccccc21,1.02129
FC(F)(F)c1ccnc(Cl)n1,0.0906
COc1ccnc(Cl)n1,0.15779
Cc1cccnc1Br,0.13541
N#Cc1cccnc1Cl,0.33377
COC(=O)c1cccnc1Cl,0.25861
FC(F)(F)c1cccnc1Cl,0.1282
OCc1cccnc1Cl,0.15357
Nc1cccnc1Cl,0.34014
Brc1ncccn1,0.13861
N#Cc1nccnc1Cl,0.26316
Brc1nccs1,0.1049
Cc1ccc(S(=O)(=O)n2ccc3c(Cl)ncnc32)cc1,0.80745
Clc1nsc2ccccc12,0.45806
Clc1nsnc1N1CCOCC1,0.23056
Cc1nc(Cl)c2oc3ccccc3c2n1,0.7348
Clc1ncnc2c1ncn2C1CCCCO1,0.35597
Clc1ccc2nncn2n1,0.36854
Cc1cn2nc(Cl)ccc2n1,0.53502
O=[N+]([O-])c1cnc2ccc(Cl)nn12,0.65773
Brc1[nH]nc2ncccc12,0.46025
FC(F)(F)Oc1ccc2nc(Cl)sc2c1,0.56252
Brc1cnc2ccccn12,0.39488
FC(F)(F)c1ccc2ncc(Br)n2c1,0.58001
Clc1cccc2scnc12,0.51304
Fc1ccc2nc(Br)sc2c1,0.55788
Nc1c(Cl)ccc2nsnc12,0.62871
Clc1cccn2cnnc12,0.39489
FC(F)(F)c1cc(Cl)c2nccn2c1,0.49715
O=C1OCc2c(Cl)cccc21,0.4782
COC(=O)c1sc2ccccc2c1Cl,0.7575
Clc1nccn2ccnc12,0.43512
Clc1nccn2cnnc12,0.40073
Clc1ncnc2ccsc12,0.47614
COc1cc2ncc(Cl)nc2cc1OC,0.89874
Nc1nc(Cl)c2cc[nH]c2n1,0.67687
Fc1cc2ncccc2cc1Br,0.9458
O=[N+]([O-])c1ccc(Br)c2ccncc12,0.90263
Clc1nccc2occc12,0.43682
Cn1ccc2c(Cl)ncnc21,0.50397
Cn1ncc2c(Cl)ncnc21,0.52936
Clc1ncnc2sccc12,0.46274
COc1cc2ncnc(Cl)c2cc1OC,0.87913
Clc1ccnc2[nH]ncc12,0.46781
Clc1ccc2cc[nH]c2n1,0.58708
COc1ccc2c(Cl)ccnc2c1,0.7724
Clc1ccn2nccc2n1,0.47797
Clc1ccc2c[nH]nc2n1,0.48031
Clc1ccc2[nH]ncc2n1,0.42828
Cc1cc(Cl)nc2c(C)cccc12,0.75531
O=[N+]([O-])c1cnn2ccc(Cl)nc12,0.8945
Clc1ncc2cc[nH]c2n1,0.45767
Clc1nc(-c2ccccc2)c2ccccc2n1,1.01067
Cc1cc(=O)n(C2CCCC2)c2nc(Cl)ncc12,0.74527
CN(C)C(=O)c1cc2cnc(Cl)nc2n1C1CCCC1,0.61893
N#Cc1cncc(Cl)n1,0.33368
COc1cncc(Cl)n1,0.24415
Clc1cncc(-n2cccn2)n1,0.51404
CC(C)(C)OC(=O)Nc1cc(Br)cs1,0.30101
N#Cc1c(Cl)ccc(N)c1N,0.49534
Cn1cc(Br)c(C(=O)O)n1,0.15884
O=[N+]([O-])c1cc(C(F)(F)F)cnc1Cl,0.32367
N#Cc1cnc(Cl)s1,0.20763
Brc1nncs1,0.0871
CC(=O)c1cccnc1Cl,0.28606
CNC(=O)c1cccnc1Cl,0.079
N#Cc1ccc(Br)s1,0.29759
O=C(c1cccnc1Cl)N1CCCC1,0.32154
O=C(O)c1csc(Br)c1,0.36507
