,CAS,SMILES,Exp. CF,Pred. CF,Exp. Conc. (mmol/ml),Pred. Conc. (mmol/ml)
132,167933-07-5,O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1,0.9171,0.92643225,0.0011065318678616,0.0010953820912008
133,53179-13-8,Cc1ccc(=O)n(-c2ccccc2)c1,0.53112,0.48485294,0.0021811192813103,0.0023892336670548
134,144060-53-7,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,1.03923,1.2208911,0.0011884367631534,0.0010116090775035
135,150322-43-3,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,0.52527,0.24058759,0.0011567844605287,0.0025255951958728
136,441798-33-0,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,1.1461,1.059513,0.0006459487116722,0.0006987389665516
137,269055-15-4,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,1.78103,1.7306145,0.0008913700219396,0.0008605943392009
138,191732-72-6,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.60285,0.6157119,0.0016662488187761,0.0015710167727614
139,130-95-0,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.81702,0.8431425,0.0011959657731857,0.0011589069403655
140,24280-93-1,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,0.74642,0.67252463,0.0012486693866848,0.0013858726314675
141,171596-29-5,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,1.26097,1.1788032,0.0009861046554925,0.0010548408819238
142,142340-99-6,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.45804,0.4965266,0.000773714447522,0.0007137360204047
143,129722-12-9,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.00844,1.0736701,0.0008653104189618,0.0008127370662168
144,144689-63-4,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1.20492,1.1781992,0.0007662080756182,0.0007835877566817
145,137234-62-9,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.3094,0.20768559,0.0012367025844793,0.0018423945010301
146,93-14-1,COc1ccccc1OCC(O)CO,0.34911,0.38435274,0.002139059015831,0.0019429019306965
147,181695-72-7,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,0.93497,0.8377384,0.0012851262541114,0.0014342816131854
148,28721-07-5,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0.67073,0.72522193,0.0015380163552976,0.0014224441038868
149,68291-97-4,NS(=O)(=O)Cc1noc2ccccc12,0.38297,0.39677182,0.0019035951561984,0.0018373688973376
150,177036-94-1,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,0.66961,0.57845104,0.0010992844081304,0.0012725303790332
151,380843-75-4,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1.73558,1.7463504,0.0007314461519899,0.0007269344747759
152,67392-87-4,C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@H]1[C@@H]3[C@@H]4C[C@@H]4[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@@H]12,0.38571,0.23689078,0.0010586601400814,0.0017237393940357
153,755037-03-7,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,1.37631,1.4850833,0.0008864568856781,0.0008215269681308
154,163451-81-8,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.8043,0.6215349,0.0014951334147514,0.0020880388401906
155,175481-36-4,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,0.22886,0.21533188,0.0016140760213825,0.0017155108941745
